"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",-46.39503074081,-42.2982,-35.6036609298054,16752.8,0.95,-184.164,86.1068,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",27.8961506277785,20.5442,2.75780138031132,9637.5,0.95,-87.2654,158.864,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",-17.843537008867,-25.0269,-46.6345667976869,8470.9,0.95,-139.506,120.768,NA,NA,NA,NA,NA,NA,NA
"beta0[4]",-37.0878376668125,-35.3132,-36.6163749577544,17770.8,0.95,-209.498,128.832,NA,NA,NA,NA,NA,NA,NA
"beta0[5]",-57.7640323362405,-60.8452,-69.4862149290086,14664.9,0.95,-184.338,71.8449,NA,NA,NA,NA,NA,NA,NA
"beta0[6]",-190.951740588825,-180.874,-146.862795169656,7837.1,0.95,-363.034,-38.9478,NA,NA,NA,NA,NA,NA,NA
"beta0[7]",-58.1611960312015,-58.2464,-61.0292852481643,16555.9,0.95,-218.141,87.3796,NA,NA,NA,NA,NA,NA,NA
"beta0[8]",-85.40815491125,-81.2491,-79.6545173783662,13117.3,0.95,-219.124,34.6929,NA,NA,NA,NA,NA,NA,NA
"beta0[9]",-62.7578744563295,-64.09605,-65.5526023865482,16994.3,0.95,-190.76,63.2671,NA,NA,NA,NA,NA,NA,NA
"beta0[10]",-44.947933475265,-50.8387,-66.08884582921,8828.6,0.95,-163.915,81.8837,NA,NA,NA,NA,NA,NA,NA
"beta0[11]",-47.9528916957276,-42.377,-34.4901832236382,14619.9,0.95,-204.155,101.771,NA,NA,NA,NA,NA,NA,NA
"beta0[12]",-74.7544062578155,-73.37805,-75.5822499155334,17086.2,0.95,-228.254,66.7109,NA,NA,NA,NA,NA,NA,NA
"beta0[13]",-24.6238492316675,-21.1686,-18.0168569416952,16020.9,0.95,-164.325,98.3759,NA,NA,NA,NA,NA,NA,NA
"beta0[14]",-23.8802812656756,-23.49645,-26.7810145689255,17425.3,0.95,-131.04,71.8846,NA,NA,NA,NA,NA,NA,NA
"beta0[15]",-39.5880265751415,-41.11435,-42.3466543247481,17313.4,0.95,-185.879,117.315,NA,NA,NA,NA,NA,NA,NA
"beta0[16]",-40.517563417551,-40.47155,-40.0335802959568,16057.4,0.95,-157.277,86.0859,NA,NA,NA,NA,NA,NA,NA
"beta0[17]",-47.22787413139,-48.4547,-49.7284713783646,16047.7,0.95,-159.389,73.1035,NA,NA,NA,NA,NA,NA,NA
"beta0[18]",-119.30087609204,-113.8015,-99.5341351080978,10289.4,0.95,-249.907,-8.91801,NA,NA,NA,NA,NA,NA,NA
"beta0[19]",-59.593151839792,-54.1859,-44.650766757742,15670,0.95,-243.695,104.379,NA,NA,NA,NA,NA,NA,NA
"beta0[20]",-40.8448702564545,-37.085,-34.735292695735,16238.3,0.95,-209.526,109.491,NA,NA,NA,NA,NA,NA,NA
"beta0[21]",-42.148831153721,-35.57895,-18.8306514582345,11464.8,0.95,-168.225,74.1899,NA,NA,NA,NA,NA,NA,NA
"beta0[22]",-114.347736091253,-106.39,-91.5152797032617,12487.4,0.95,-255.304,16.1842,NA,NA,NA,NA,NA,NA,NA
"beta0[23]",-119.26735605803,-114.5395,-101.338532628702,8524.2,0.95,-235.761,-10.4913,NA,NA,NA,NA,NA,NA,NA
"beta0[24]",16.62388929701,10.8178,7.46255263845967,14015,0.95,-94.0392,148.15,NA,NA,NA,NA,NA,NA,NA
"beta0[25]",-45.787747292043,-55.5467,-75.0639197932168,12314.5,0.95,-219.685,149.422,NA,NA,NA,NA,NA,NA,NA
"beta1[1]",3.34158379015,3.283355,3.2864479976269,16708.7,0.95,1.37958,5.58615,NA,NA,NA,NA,NA,NA,NA
"beta1[2]",2.42931758155445,2.551125,2.85058357646403,9572,0.95,0.291816,4.20887,NA,NA,NA,NA,NA,NA,NA
"beta1[3]",2.24636981909445,2.344985,2.7148130889472,8345.7,0.95,0.362104,3.90244,NA,NA,NA,NA,NA,NA,NA
"beta1[4]",3.19228644807945,3.15747,3.12408840864927,17237.9,0.95,0.79853,5.76986,NA,NA,NA,NA,NA,NA,NA
"beta1[5]",2.8252356268145,2.87371,2.93112129617452,14622.5,0.95,1.04682,4.54555,NA,NA,NA,NA,NA,NA,NA
"beta1[6]",4.10306958065,3.97188,3.51651968238072,7821.4,0.95,2.17659,6.39277,NA,NA,NA,NA,NA,NA,NA
"beta1[7]",3.1203737434815,3.122575,3.17316295663926,16875.1,0.95,1.08332,5.3078,NA,NA,NA,NA,NA,NA,NA
"beta1[8]",3.495896836805,3.426275,3.28750525557322,13066.2,0.95,1.64554,5.44358,NA,NA,NA,NA,NA,NA,NA
"beta1[9]",2.985152213492,3.00844,3.02711808224727,17109.6,0.95,1.12556,4.89274,NA,NA,NA,NA,NA,NA,NA
"beta1[10]",2.3634140973635,2.446295,2.72168064149686,8682.3,0.95,0.59468,3.97155,NA,NA,NA,NA,NA,NA,NA
"beta1[11]",3.39297712093625,3.30374,3.17397771934977,14495.7,0.95,1.16502,5.9196,NA,NA,NA,NA,NA,NA,NA
"beta1[12]",3.21371693191253,3.19102,3.22502399640187,16843.8,0.95,1.2569,5.41941,NA,NA,NA,NA,NA,NA,NA
"beta1[13]",3.338986686738,3.27971,3.18214637301293,15767.5,0.95,1.23821,5.62328,NA,NA,NA,NA,NA,NA,NA
"beta1[14]",3.17402796701,3.157555,3.09925206947426,17260.2,0.95,1.57444,4.88422,NA,NA,NA,NA,NA,NA,NA
"beta1[15]",3.00224052459913,3.027905,3.07746290741515,17182.2,0.95,0.707251,5.42919,NA,NA,NA,NA,NA,NA,NA
"beta1[16]",3.08280267871,3.0851,3.09572036979045,16045.3,0.95,1.21884,4.87373,NA,NA,NA,NA,NA,NA,NA
